task,queue,env_name,exp_name,sensor_bundle,seed,rollout_idx,step,time_s,force_target,finger_force_sum,effective_force,f_thumb,f_index,success_per_step,reward,env_code_commit
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,23,1.15,3.602274,3.814643,3.814643,1.727494,2.08715,0,0.283134,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,24,1.2,3.602274,3.766515,3.766515,1.678872,2.087643,1,0.783956,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,25,1.25,3.602274,3.794424,3.794424,1.705248,2.089177,1,0.783539,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,26,1.3,3.602274,3.720156,3.720156,1.691599,2.028557,1,0.784578,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,27,1.35,3.602274,4.288702,4.288702,1.54244,2.746262,1,0.76516,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,28,1.4,3.602274,4.870865,4.870865,1.530734,3.340132,0,0.223126,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,29,1.45,3.602274,3.667866,3.667866,1.516249,2.151617,0,0.285056,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,30,1.5,3.602274,3.73357,3.73357,1.504191,2.229379,0,0.284504,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,31,1.55,3.602274,3.861933,3.861933,1.492886,2.369047,0,0.282312,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,32,1.6,3.602274,3.66983,3.66983,1.483143,2.186687,0,0.2851,3682863
