task,queue,env_name,exp_name,sensor_bundle,seed,rollout_idx,step,time_s,force_target,finger_force_sum,effective_force,f_thumb,f_index,success_per_step,reward,env_code_commit
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,21,1.05,4.85654,5.138836,5.138836,3.15001,1.988827,0,0.281189,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,22,1.1,4.739697,6.076834,6.076834,4.058707,2.018127,0,0.241226,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,23,1.15,4.592329,5.208248,5.208248,3.199505,2.008743,0,0.272838,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,24,1.2,4.418063,5.088291,5.088291,3.077652,2.010639,0,0.27004,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,25,1.25,4.221191,5.177378,5.177378,3.161347,2.016031,0,0.25505,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,26,1.3,4.006562,5.144427,5.144427,3.12865,2.015777,0,0.240499,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,27,1.35,3.779459,5.099867,5.099867,3.037686,2.062181,0,0.221623,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,28,1.4,3.545475,5.474499,5.474499,3.279998,2.194502,0,0.159315,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,29,1.45,3.310371,6.00743,6.00743,3.592939,2.414491,0,0.087059,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,30,1.5,3.079936,6.586203,6.586203,3.79802,2.788182,0,0.045456,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,31,1.55,2.859845,7.111506,7.111506,4.199886,2.91162,0,0.034324,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,32,1.6,2.655517,6.902042,6.902042,4.956481,1.945562,0,0.03363,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,33,1.65,2.471982,2.921931,0.0,0.0,2.921931,0,0.05736,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,34,1.7,2.313761,2.952204,0.0,0.0,2.952204,0,0.057221,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,35,1.75,2.184749,3.065959,0.0,0.0,3.065959,0,0.057188,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,36,1.8,2.088123,3.110686,0.0,0.0,3.110686,0,0.057283,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,37,1.85,2.026262,3.052195,0.0,0.0,3.052195,0,0.057428,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,38,1.9,2.00069,6.559508,6.559508,3.614297,2.945211,0,0.032717,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,39,1.95,2.012035,18.112438,18.112438,15.218406,2.894033,0,0.033002,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,40,2.0,2.060019,12.017477,12.017477,9.379149,2.638328,0,0.033102,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,41,2.05,2.14346,9.849665,9.849665,6.932642,2.917022,0,0.033248,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,42,2.1,2.260303,7.423996,7.423996,4.517021,2.906975,0,0.033353,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,43,2.15,2.407673,6.986572,6.986572,4.085524,2.901048,0,0.033587,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,44,2.2,2.581938,5.157278,5.157278,2.261392,2.895886,0,0.058929,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,45,2.25,2.778809,7.816045,7.816045,4.923357,2.892688,0,0.033849,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,46,2.3,2.993439,8.032057,8.032057,5.319629,2.712428,0,0.034139,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,47,2.35,3.220542,7.562195,7.562195,4.675944,2.886251,0,0.037603,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,48,2.4,3.454526,7.214336,7.214336,4.331037,2.883299,0,0.050138,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,49,2.45,3.68963,6.815076,6.815076,4.35027,2.464807,0,0.081678,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,50,2.5,3.920064,5.788625,5.788625,2.901943,2.886682,0,0.181925,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,51,2.55,4.140155,6.272673,6.272673,3.403399,2.869274,0,0.170193,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,52,2.6,4.344483,4.669526,4.669526,2.649335,2.020191,0,0.281091,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,53,2.65,4.528018,5.67352,5.67352,2.86486,2.80866,0,0.250662,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,54,2.7,4.686239,5.47121,5.47121,2.614896,2.856315,0,0.269176,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,55,2.75,4.815251,6.376699,6.376699,4.097831,2.278868,0,0.231736,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,56,2.8,4.911877,5.586445,5.586445,2.849418,2.737027,0,0.274641,3682863
