queue,env_name,exp_name,sensor_bundle,seed,run_idx,result,num_timesteps,num_envs,batch_size,num_minibatches,num_updates_per_batch,unroll_length,learning_rate,entropy_cost,discounting,reward_scaling,max_grad_norm,episode_length,action_repeat,num_evals,num_resets_per_eval,training_metrics_steps,ctrl_dt,sim_dt,ema_alpha
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-195023-cubepinch_sb_none_s1,none,1,0,ok,300000000,8192,256,64,4,40,0.0001,0.01,0.995,1.0,1.0,80,1,10,1,10000000,0.05,0.01,0.15
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-200126-cubepinch_sb_none_s2,none,2,1,ok,300000000,8192,256,64,4,40,0.0001,0.01,0.995,1.0,1.0,80,1,10,1,10000000,0.05,0.01,0.15
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-201232-cubepinch_sb_none_s3,none,3,2,ok,300000000,8192,256,64,4,40,0.0001,0.01,0.995,1.0,1.0,80,1,10,1,10000000,0.05,0.01,0.15
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,3,ok,300000000,8192,256,64,4,40,0.0001,0.01,0.995,1.0,1.0,80,1,10,1,10000000,0.05,0.01,0.15
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-203506-cubepinch_sb_baseline_s2,baseline,2,4,ok,300000000,8192,256,64,4,40,0.0001,0.01,0.995,1.0,1.0,80,1,10,1,10000000,0.05,0.01,0.15
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-204625-cubepinch_sb_baseline_s3,baseline,3,5,ok,300000000,8192,256,64,4,40,0.0001,0.01,0.995,1.0,1.0,80,1,10,1,10000000,0.05,0.01,0.15
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-205744-cubepinch_sb_propriotarget_s1,proprio.target,1,6,ok,300000000,8192,256,64,4,40,0.0001,0.01,0.995,1.0,1.0,80,1,10,1,10000000,0.05,0.01,0.15
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-210903-cubepinch_sb_propriotarget_s2,proprio.target,2,7,ok,300000000,8192,256,64,4,40,0.0001,0.01,0.995,1.0,1.0,80,1,10,1,10000000,0.05,0.01,0.15
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-212024-cubepinch_sb_propriotarget_s3,proprio.target,3,8,ok,300000000,8192,256,64,4,40,0.0001,0.01,0.995,1.0,1.0,80,1,10,1,10000000,0.05,0.01,0.15
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-213146-cubepinch_sb_forcemagnitude_s1,force.magnitude,1,9,ok,300000000,8192,256,64,4,40,0.0001,0.01,0.995,1.0,1.0,80,1,10,1,10000000,0.05,0.01,0.15
