task,sensor_bundle,exp_name,seed,mean_eval_reward,old_code,k_forces,n_samples,representation,width,r2_mean,r2_per_channel,rmse_per_channel_N,val_loc_err
pinch,none,TesolloCubePinch-20260622-200126-cubepinch_sb_none_s2,2,11.4878,False,2,5120,hidden_0,256,0.3201,0.3401;0.3001,0.8392;0.7071,0.00e+00
pinch,none,TesolloCubePinch-20260622-200126-cubepinch_sb_none_s2,2,11.4878,False,2,5120,hidden_1,128,0.4397,0.406;0.4734,0.7962;0.6133,0.00e+00
pinch,none,TesolloCubePinch-20260622-200126-cubepinch_sb_none_s2,2,11.4878,False,2,5120,hidden_2,64,0.4402,0.407;0.4734,0.7956;0.6133,0.00e+00
pinch,proprio.delta,TesolloCubePinch-20260622-223757-cubepinch_sb_propriodelta_s2,2,22.2584,False,2,5120,input,25,0.7918,0.764;0.8196,0.4766;0.2688,0.00e+00
pinch,proprio.delta,TesolloCubePinch-20260622-223757-cubepinch_sb_propriodelta_s2,2,22.2584,False,2,5120,hidden_0,256,0.897,0.8814;0.9125,0.3378;0.1872,0.00e+00
pinch,proprio.delta,TesolloCubePinch-20260622-223757-cubepinch_sb_propriodelta_s2,2,22.2584,False,2,5120,hidden_1,128,0.8765,0.8504;0.9026,0.3794;0.1975,0.00e+00
pinch,proprio.delta,TesolloCubePinch-20260622-223757-cubepinch_sb_propriodelta_s2,2,22.2584,False,2,5120,hidden_2,64,0.8031,0.7842;0.8219,0.4557;0.2671,0.00e+00
pinch,proprio.target,TesolloCubePinch-20260622-205744-cubepinch_sb_propriotarget_s1,1,23.5953,False,2,5120,input,25,0.7741,0.6624;0.8857,0.543;0.2092,0.00e+00
pinch,proprio.target,TesolloCubePinch-20260622-205744-cubepinch_sb_propriotarget_s1,1,23.5953,False,2,5120,hidden_0,256,0.891,0.8694;0.9125,0.3377;0.1831,0.00e+00
pinch,proprio.target,TesolloCubePinch-20260622-205744-cubepinch_sb_propriotarget_s1,1,23.5953,False,2,5120,hidden_1,128,0.8763,0.8422;0.9105,0.3713;0.1852,0.00e+00
pinch,proprio.target,TesolloCubePinch-20260622-205744-cubepinch_sb_propriotarget_s1,1,23.5953,False,2,5120,hidden_2,64,0.8473,0.7911;0.9035,0.4271;0.1923,0.00e+00
pinch_sinusoid,baseline,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,8,20.5153,False,2,5120,input,17,0.7724,0.7009;0.8438,0.5586;0.273,0.00e+00
pinch_sinusoid,baseline,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,8,20.5153,False,2,5120,hidden_0,256,0.878,0.8047;0.9513,0.4513;0.1525,0.00e+00
pinch_sinusoid,baseline,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,8,20.5153,False,2,5120,hidden_1,128,0.886,0.8209;0.951,0.4322;0.1529,0.00e+00
pinch_sinusoid,baseline,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,8,20.5153,False,2,5120,hidden_2,64,0.8447,0.7813;0.9081,0.4777;0.2095,0.00e+00
pinch_sinusoid,force.magnitude,TesolloCubePinch-20260624-173716-cubepinch_sb_forcemagnitude_s8,8,33.1637,False,2,5120,input,21,0.9999,0.9999;0.9999,0.0059;0.007,0.00e+00
pinch_sinusoid,force.magnitude,TesolloCubePinch-20260624-173716-cubepinch_sb_forcemagnitude_s8,8,33.1637,False,2,5120,hidden_0,256,1.0,1.0;1.0,0.0026;0.0032,0.00e+00
pinch_sinusoid,force.magnitude,TesolloCubePinch-20260624-173716-cubepinch_sb_forcemagnitude_s8,8,33.1637,False,2,5120,hidden_1,128,0.9996,0.9997;0.9994,0.0136;0.0179,0.00e+00
pinch_sinusoid,force.magnitude,TesolloCubePinch-20260624-173716-cubepinch_sb_forcemagnitude_s8,8,33.1637,False,2,5120,hidden_2,64,0.9965,0.9956;0.9974,0.0507;0.0377,0.00e+00
pinch_sinusoid,none,TesolloCubePinch-20260623-140037-cubepinch_sb_none_s3,3,14.0144,False,2,5120,input,1,0.0955,0.1316;0.0593,1.1762;0.6801,0.00e+00
pinch_sinusoid,none,TesolloCubePinch-20260623-140037-cubepinch_sb_none_s3,3,14.0144,False,2,5120,hidden_0,256,0.1055,0.1416;0.0693,1.1694;0.6765,0.00e+00
pinch_sinusoid,none,TesolloCubePinch-20260623-140037-cubepinch_sb_none_s3,3,14.0144,False,2,5120,hidden_1,128,0.1106,0.1445;0.0766,1.1674;0.6738,0.00e+00
pinch_sinusoid,none,TesolloCubePinch-20260623-140037-cubepinch_sb_none_s3,3,14.0144,False,2,5120,hidden_2,64,0.1104,0.1459;0.0748,1.1664;0.6745,0.00e+00
pinch_sinusoid,proprio.delta,TesolloCubePinch-20260624-190210-cubepinch_sb_propriodelta_s8,8,22.4112,False,2,5120,input,25,0.9162,0.8958;0.9365,0.2592;0.1799,0.00e+00
pinch_sinusoid,proprio.delta,TesolloCubePinch-20260624-190210-cubepinch_sb_propriodelta_s8,8,22.4112,False,2,5120,hidden_0,256,0.945,0.9357;0.9544,0.2036;0.1525,0.00e+00
pinch_sinusoid,proprio.delta,TesolloCubePinch-20260624-190210-cubepinch_sb_propriodelta_s8,8,22.4112,False,2,5120,hidden_1,128,0.9441,0.935;0.9531,0.2047;0.1547,0.00e+00
pinch_sinusoid,proprio.delta,TesolloCubePinch-20260624-190210-cubepinch_sb_propriodelta_s8,8,22.4112,False,2,5120,hidden_2,64,0.9321,0.9224;0.9418,0.2237;0.1723,0.00e+00
pinch_sinusoid,proprio.target,TesolloCubePinch-20260624-165709-cubepinch_sb_propriotarget_s5,5,33.2094,False,2,5120,input,25,0.9537,0.9571;0.9503,0.1709;0.1547,0.00e+00
pinch_sinusoid,proprio.target,TesolloCubePinch-20260624-165709-cubepinch_sb_propriotarget_s5,5,33.2094,False,2,5120,hidden_0,256,0.9729,0.9762;0.9697,0.1275;0.1208,0.00e+00
pinch_sinusoid,proprio.target,TesolloCubePinch-20260624-165709-cubepinch_sb_propriotarget_s5,5,33.2094,False,2,5120,hidden_1,128,0.9717,0.9755;0.968,0.1292;0.1242,0.00e+00
pinch_sinusoid,proprio.target,TesolloCubePinch-20260624-165709-cubepinch_sb_propriotarget_s5,5,33.2094,False,2,5120,hidden_2,64,0.9648,0.9708;0.9587,0.141;0.1411,0.00e+00
pinch,force.magnitude,TesolloCubePinch-20260622-213146-cubepinch_sb_forcemagnitude_s1,1,25.8778,True,2,5120,input,19,1.0,1.0;1.0,0.0036;0.0031,0.00e+00
pinch,force.magnitude,TesolloCubePinch-20260622-213146-cubepinch_sb_forcemagnitude_s1,1,25.8778,True,2,5120,hidden_0,256,0.9999,0.9999;0.9999,0.011;0.0074,0.00e+00
pinch,force.magnitude,TesolloCubePinch-20260622-213146-cubepinch_sb_forcemagnitude_s1,1,25.8778,True,2,5120,hidden_1,128,0.9951,0.9945;0.9958,0.0803;0.0441,0.00e+00
pinch,force.magnitude,TesolloCubePinch-20260622-213146-cubepinch_sb_forcemagnitude_s1,1,25.8778,True,2,5120,hidden_2,64,0.9194,0.8955;0.9433,0.3496;0.1617,0.00e+00
